,listing_url,listed_price,listed_potential_gross_revenue,listed_walk_score,number_of_units,year_built
0,https://www.centris.ca/en/triplexes~for-sale~montreal-montreal-nord/17599171?view=Summary,"$749,000","$27,180",63,Residential (3),1968
0,https://www.centris.ca/en/4plex~for-sale~montreal-montreal-nord/22041051?view=Summary,"$949,000","$39,540",57,Residential (4),1967
